name,images,Roll_num,Reg_num,ex_atn,DAA,SEPM,DL,NLP,CN,APT,EEIM,MP,DAA_PR,DL_PR,NLP_PR
Andy_Dick,1.0,M26,22ACSE1282715,0,0,0,0,0,0,0,0,0,0,0,0
Andy_Griffith,1.0,M27,22ACSE5438503,0,0,0,0,0,0,0,0,0,0,0,0
Andy_Wisecarver,1.0,M28,22ACSE7653020,0,0,0,0,0,0,0,0,0,0,0,0
Angela_Bassett,6.0,M29,22ACSE2620436,0,0,0,0,0,0,0,0,0,0,0,0
Angela_Lansbury,2.0,M30,22ACSE4179765,0,0,0,0,0,0,0,0,0,0,0,0
Ann_Veneman,11.0,M31,22ACSE2438516,0,0,0,0,0,0,0,0,0,0,0,0
Annie-Jeanne_Reynaud,1.0,M32,22ACSE7563293,0,0,0,0,0,0,0,0,0,0,0,0
Anthony_Carter,1.0,M33,22ACSE1631471,0,0,0,0,0,0,0,0,0,0,0,0
Anthony_Fauci,2.0,M34,22ACSE6769686,0,0,0,0,0,0,0,0,0,0,0,0
Anthony_Mazur,1.0,M35,22ACSE9010436,0,0,0,0,0,0,0,0,0,0,0,0
Anthony_Scott_Miller,1.0,M36,22ACSE8957048,0,0,0,0,0,0,0,0,0,0,0,0
Antonio_Cassano,1.0,M37,22ACSE2037736,0,0,0,0,0,0,0,0,0,0,0,0
Antony_Leung,4.0,M38,22ACSE6260779,0,0,0,0,0,0,0,0,0,0,0,0
Anwar_Ibrahim,2.0,M39,22ACSE1387149,0,0,0,0,0,0,0,0,0,0,0,0
Armand_Sargen,1.0,M40,22ACSE6446582,0,0,0,0,0,0,0,0,0,0,0,0
Armando_Calderon_Sol,1.0,M41,22ACSE6610536,0,0,0,0,0,0,0,0,0,0,0,0
Astou_Ndiaye-Diatta,1.0,M42,22ACSE5920459,0,0,0,0,0,0,0,0,0,0,0,0
Atom_Egoyan,1.0,M43,22ACSE6611837,0,0,0,0,0,0,0,0,0,0,0,0
Augusto_Pinochet,2.0,M44,22ACSE8123108,0,0,0,0,0,0,0,0,0,0,0,0
Barbara_Brezigar,2.0,M45,22ACSE6349720,0,0,0,0,0,0,0,0,0,0,0,0
Barbara_Felt-Miller,1.0,M46,22ACSE8384596,0,0,0,0,0,0,0,0,0,0,0,0
Barbra_Streisand,3.0,M47,22ACSE2490797,0,0,0,0,0,0,0,0,0,0,0,0
Bart_Freundlich,1.0,M48,22ACSE4083398,0,0,0,0,0,0,0,0,0,0,0,0
Ben_Glisan,2.0,M49,22ACSE2242048,0,0,0,0,0,0,0,0,0,0,0,0
Benjamin_Martinez,1.0,M50,22ACSE3944930,0,0,0,0,0,0,0,0,0,0,0,0
Benjamin_Netanyahu,5.0,M51,22ACSE4420028,0,0,0,0,0,0,0,0,0,0,0,0
Bernard_Law,5.0,M52,22ACSE5636260,0,0,0,0,0,0,0,0,0,0,0,0
Bertrand_Bonello,2.0,M53,22ACSE7862808,0,0,0,0,0,0,0,0,0,0,0,0
Bettina_Rheims,1.0,M54,22ACSE1871596,0,0,0,0,0,0,0,0,0,0,0,0
Bill_Bradley,1.0,M55,22ACSE3283852,0,0,0,0,0,0,0,0,0,0,0,0
Bill_Doba,1.0,M56,22ACSE5244184,0,0,0,0,0,0,0,0,0,0,0,0
Bill_Elliott,1.0,M57,22ACSE1400414,0,0,0,0,0,0,0,0,0,0,0,0
Bill_Frist,9.0,M58,22ACSE4466555,0,0,0,0,0,0,0,0,0,0,0,0
Bill_Maher,1.0,M59,22ACSE7740492,0,0,0,0,0,0,0,0,0,0,0,0
Bill_Nelson,2.0,M60,22ACSE4021778,0,0,0,0,0,0,0,0,0,0,0,0
Bill_Rainer,1.0,M61,22ACSE7585991,0,0,0,0,0,0,0,0,0,0,0,0
Bill_Stapleton,1.0,M62,22ACSE5950615,0,0,0,0,0,0,0,0,0,0,0,0
Billy_Bob_Thornton,1.0,M63,22ACSE4673759,0,0,0,0,0,0,0,0,0,0,0,0
Bob_Alper,1.0,M64,22ACSE5220572,0,0,0,0,0,0,0,0,0,0,0,0
Bob_Graham,6.0,M65,22ACSE2952548,0,0,0,0,0,0,0,0,0,0,0,0
Bob_Petrino,1.0,M66,22ACSE3355844,0,0,0,0,0,0,0,0,0,0,0,0
Bonnie_Hunt,1.0,M67,22ACSE5429173,0,0,0,0,0,0,0,0,0,0,0,0
Boris_Becker,6.0,M68,22ACSE2373962,0,0,0,0,0,0,0,0,0,0,0,0
Brad_Johnson,5.0,M69,22ACSE3993799,0,0,0,0,0,0,0,0,0,0,0,0
Brad_Russ,1.0,M70,22ACSE6635459,0,0,0,0,0,0,0,0,0,0,0,0
Brawley_King,1.0,M71,22ACSE2796060,0,0,0,0,0,0,0,0,0,0,0,0
Brenda_Wilson,1.0,M72,22ACSE9457147,0,0,0,0,0,0,0,0,0,0,0,0
Brian_Griese,2.0,M73,22ACSE4696754,0,0,0,0,0,0,0,0,0,0,0,0
Brian_Williams,1.0,M74,22ACSE1683845,0,0,0,0,0,0,0,0,0,0,0,0
Bruce_Lunsford,1.0,M75,22ACSE9759815,0,0,0,0,0,0,0,0,0,0,0,0
Bruna_Colosio,1.0,M76,22ACSE9955629,0,0,0,0,0,0,0,0,0,0,0,0
Bryan_Adams,1.0,M77,22ACSE9418201,0,0,0,0,0,0,0,0,0,0,0,0
Buford_Blount,1.0,M78,22ACSE1563269,0,0,0,0,0,0,0,0,0,0,0,0
Calbert_Cheaney,1.0,M79,22ACSE6001863,0,0,0,0,0,0,0,0,0,0,0,0
Camryn_Manheim,1.0,M80,22ACSE2633461,0,0,0,0,0,0,0,0,0,0,0,0
Candice_Bergen,3.0,M81,22ACSE6989099,0,0,0,0,0,0,0,0,0,0,0,0
Carl_Reiner,2.0,M82,22ACSE5866913,0,0,0,0,0,0,0,0,0,0,0,0
Carla_Myers,2.0,M83,22ACSE7551165,0,0,0,0,0,0,0,0,0,0,0,0
Carlo_Azeglio_Ciampi,1.0,M84,22ACSE6662827,0,0,0,0,0,0,0,0,0,0,0,0
Carlos_Arroyo,1.0,M85,22ACSE2420981,0,0,0,0,0,0,0,0,0,0,0,0
Carlos_Barra,1.0,M86,22ACSE5515112,0,0,0,0,0,0,0,0,0,0,0,0
Carlos_Paternina,1.0,M87,22ACSE1582106,0,0,0,0,0,0,0,0,0,0,0,0
Casey_Mears,1.0,M88,22ACSE3489726,0,0,0,0,0,0,0,0,0,0,0,0
Cathy_Freeman,2.0,M89,22ACSE6612492,0,0,0,0,0,0,0,0,0,0,0,0
Cecilia_Cheung,1.0,M90,22ACSE2846553,0,0,0,0,0,0,0,0,0,0,0,0
Chang_Dae-whan,2.0,M91,22ACSE7983786,0,0,0,0,0,0,0,0,0,0,0,0
Chang_Saio-yue,1.0,M92,22ACSE1211200,0,0,0,0,0,0,0,0,0,0,0,0
Chang_Tso,1.0,M93,22ACSE6556131,0,0,0,0,0,0,0,0,0,0,0,0
Charles_Grassley,2.0,M94,22ACSE6144158,0,0,0,0,0,0,0,0,0,0,0,0
Chen_Tsai-chin,1.0,M95,22ACSE3642204,0,0,0,0,0,0,0,0,0,0,0,0
Cheryl_Little,1.0,M96,22ACSE4805383,0,0,0,0,0,0,0,0,0,0,0,0
Cheryl_Tiegs,1.0,M97,22ACSE5358576,0,0,0,0,0,0,0,0,0,0,0,0
Chip_Burrus,1.0,M98,22ACSE8391191,0,0,0,0,0,0,0,0,0,0,0,0
Cho_Myung-kyun,1.0,M99,22ACSE7114147,0,0,0,0,0,0,0,0,0,0,0,0
Choi_Yun-yong,1.0,M100,22ACSE6095512,0,0,0,0,0,0,0,0,0,0,0,0
Chris_Columbus,1.0,M101,22ACSE2970226,0,0,0,0,0,0,0,0,0,0,0,0
Chris_Dodd,1.0,M102,22ACSE9094548,0,0,0,0,0,0,0,0,0,0,0,0
Chris_Matthews,1.0,M103,22ACSE3035018,0,0,0,0,0,0,0,0,0,0,0,0
Chris_Swecker,1.0,M104,22ACSE8584009,0,0,0,0,0,0,0,0,0,0,0,0
Christian_Bale,1.0,M105,22ACSE7823081,0,0,0,0,0,0,0,0,0,0,0,0
Christian_Lacroix,1.0,M106,22ACSE3918567,0,0,0,0,0,0,0,0,0,0,0,0
Chuck_Eidson,1.0,M107,22ACSE2014397,0,0,0,0,0,0,0,0,0,0,0,0
Clare_Short,4.0,M108,22ACSE5690247,0,0,0,0,0,0,0,0,0,0,0,0
Claudio_Ranieri,1.0,M109,22ACSE5275705,0,0,0,0,0,0,0,0,0,0,0,0
Clint_Lamebear,1.0,M110,22ACSE1912378,0,0,0,0,0,0,0,0,0,0,0,0
Coco_dEste,1.0,M111,22ACSE4471896,0,0,0,0,0,0,0,0,0,0,0,0
Coleen_Rowley,1.0,M112,22ACSE1415431,0,0,0,0,0,0,0,0,0,0,0,0
Colleen_Donovan,1.0,M113,22ACSE6349669,0,0,0,0,0,0,0,0,0,0,0,0
Corey_Maggette,1.0,M114,22ACSE2631656,0,0,0,0,0,0,0,0,0,0,0,0
Corinne_Coman,2.0,M115,22ACSE8373332,0,0,0,0,0,0,0,0,0,0,0,0
Crandall_Bowles,1.0,M116,22ACSE1897921,0,0,0,0,0,0,0,0,0,0,0,0
Dai_Bachtiar,2.0,M117,22ACSE1489862,0,0,0,0,0,0,0,0,0,0,0,0
Dale_Earnhardt_Jr,4.0,M118,22ACSE8836416,0,0,0,0,0,0,0,0,0,0,0,0
Damon_Stoudamire,1.0,M119,22ACSE6234952,0,0,0,0,0,0,0,0,0,0,0,0
Dan_Ackroyd,1.0,M120,22ACSE4426807,0,0,0,0,0,0,0,0,0,0,0,0
Dan_Bartlett,1.0,M121,22ACSE3471399,0,0,0,0,0,0,0,0,0,0,0,0
Dario_Franchitti,1.0,M122,22ACSE5200401,0,0,0,0,0,0,0,0,0,0,0,0
Darrell_Dickey,1.0,M123,22ACSE6163558,0,0,0,0,0,0,0,0,0,0,0,0
Darren_Campel,1.0,M124,22ACSE9509223,0,0,0,0,0,0,0,0,0,0,0,0
Darvis_Patton,1.0,M125,22ACSE1271199,0,0,0,0,0,0,0,0,0,0,0,0
Daryl_Parks,1.0,M126,22ACSE3629070,0,0,0,0,0,0,0,0,0,0,0,0
Daryl_Sabara,1.0,M127,22ACSE5746726,0,0,0,0,0,0,0,0,0,0,0,0
Dave_Johnson,1.0,M128,22ACSE9599506,0,0,0,0,0,0,0,0,0,0,0,0
Dave_Potter,1.0,M129,22ACSE8492107,0,0,0,0,0,0,0,0,0,0,0,0
Dave_Ragone,1.0,M130,22ACSE9161020,0,0,0,0,0,0,0,0,0,0,0,0
Dave_Tucker,1.0,M131,22ACSE8464149,0,0,0,0,0,0,0,0,0,0,0,0
David_Alpay,1.0,M132,22ACSE9146415,0,0,0,0,0,0,0,0,0,0,0,0
David_Bell,2.0,M133,22ACSE2333208,0,0,0,0,0,0,0,0,0,0,0,0
David_Caruso,3.0,M134,22ACSE9133416,0,0,0,0,0,0,0,0,0,0,0,0
David_Collenette,1.0,M135,22ACSE2513694,0,0,0,0,0,0,0,0,0,0,0,0
David_Hannay,1.0,M136,22ACSE3439964,0,0,0,0,0,0,0,0,0,0,0,0
David_Westerfield,1.0,M137,22ACSE2215173,0,0,0,0,0,0,0,0,0,0,0,0
Dean_Barker,1.0,M138,22ACSE2226067,0,0,0,0,0,0,0,0,0,0,0,0
Dean_Jacek,1.0,M139,22ACSE5636413,0,0,0,0,0,0,0,0,0,0,0,0
Demi_Moore,4.0,M140,22ACSE9781560,0,0,0,0,0,0,0,0,0,0,0,0
Dereck_Whittenburg,1.0,M141,22ACSE1807851,0,0,0,0,0,0,0,0,0,0,0,0
Derek_Abney,1.0,M142,22ACSE4972834,0,0,0,0,0,0,0,0,0,0,0,0
Dianne_Reeves,1.0,M143,22ACSE2803864,0,0,0,0,0,0,0,0,0,0,0,0
Dick_Vermeil,2.0,M144,22ACSE4382889,0,0,0,0,0,0,0,0,0,0,0,0
Dimitar_Berbatov,1.0,M145,22ACSE9444417,0,0,0,0,0,0,0,0,0,0,0,0
Dionyssis_Georgiadis,1.0,M146,22ACSE9868624,0,0,0,0,0,0,0,0,0,0,0,0
Don_Carcieri,1.0,M147,22ACSE4895628,0,0,0,0,0,0,0,0,0,0,0,0
Donna_Morrissey,1.0,M148,22ACSE8853584,0,0,0,0,0,0,0,0,0,0,0,0
Dora_Bakoyianni,1.0,M149,22ACSE2182475,0,0,0,0,0,0,0,0,0,0,0,0
Doris_Roberts,3.0,M150,22ACSE4595660,0,0,0,0,0,0,0,0,0,0,0,0
Dorthy_Moxley,2.0,M151,22ACSE1864378,0,0,0,0,0,0,0,0,0,0,0,0
Doug_Wilson,1.0,M152,22ACSE7286846,0,0,0,0,0,0,0,0,0,0,0,0
Douglas_Gansler,1.0,M153,22ACSE8268806,0,0,0,0,0,0,0,0,0,0,0,0
Drew_Barrymore,2.0,M154,22ACSE3516655,0,0,0,0,0,0,0,0,0,0,0,0
Duane_Barber,1.0,M155,22ACSE3919434,0,0,0,0,0,0,0,0,0,0,0,0
Dwayne_Wade,1.0,M156,22ACSE2322320,0,0,0,0,0,0,0,0,0,0,0,0
Edmund_Stoiber,13.0,M157,22ACSE8676262,0,0,0,0,0,0,0,0,0,0,0,0
Edouard_Michelin,1.0,M158,22ACSE5249503,0,0,0,0,0,0,0,0,0,0,0,0
Edward_Arsenault,1.0,M159,22ACSE3093437,0,0,0,0,0,0,0,0,0,0,0,0
Einars_Repse,1.0,M160,22ACSE1799378,0,0,0,0,0,0,0,0,0,0,0,0
Elinor_Caplan,2.0,M161,22ACSE6976406,0,0,0,0,0,0,0,0,0,0,0,0
Eliza_Dushku,1.0,M162,22ACSE3002806,0,0,0,0,0,0,0,0,0,0,0,0
Ellen_MacArthur,1.0,M163,22ACSE7975908,0,0,0,0,0,0,0,0,0,0,0,0
Emilio_Azcarraga_Jean,1.0,M164,22ACSE9993333,0,0,0,0,0,0,0,0,0,0,0,0
Emily_Stevens,1.0,M165,22ACSE2494171,0,0,0,0,0,0,0,0,0,0,0,0
Emmanuelle_Beart,3.0,M166,22ACSE5876446,0,0,0,0,0,0,0,0,0,0,0,0
Emmanuelle_Jagodsinski,1.0,M167,22ACSE2331146,0,0,0,0,0,0,0,0,0,0,0,0
Eric_Daze,1.0,M168,22ACSE9320797,0,0,0,0,0,0,0,0,0,0,0,0
Erika_Christensen,2.0,M169,22ACSE1203014,0,0,0,0,0,0,0,0,0,0,0,0
Eriko_Tamura,1.0,M170,22ACSE6466494,0,0,0,0,0,0,0,0,0,0,0,0
Ernie_Grunfeld,1.0,M171,22ACSE3479530,0,0,0,0,0,0,0,0,0,0,0,0
Erwin_Abdullah,1.0,M172,22ACSE9762329,0,0,0,0,0,0,0,0,0,0,0,0
Estelle_Morris,1.0,M173,22ACSE9722629,0,0,0,0,0,0,0,0,0,0,0,0
Ester_Canadas,1.0,M174,22ACSE2901226,0,0,0,0,0,0,0,0,0,0,0,0
Eugene_Melnyk,1.0,M175,22ACSE6025774,0,0,0,0,0,0,0,0,0,0,0,0
Fatma_Kusibeh,1.0,M176,22ACSE3233621,0,0,0,0,0,0,0,0,0,0,0,0
Federico_Trillo,3.0,M177,22ACSE7126477,0,0,0,0,0,0,0,0,0,0,0,0
Fernando_Alonso,1.0,M178,22ACSE1404169,0,0,0,0,0,0,0,0,0,0,0,0
Fernando_Sanz,1.0,M179,22ACSE7410084,0,0,0,0,0,0,0,0,0,0,0,0
Fidel_Castro_Daiz-Balart,1.0,M180,22ACSE4211927,0,0,0,0,0,0,0,0,0,0,0,0
Flor_Montulo,2.0,M181,22ACSE9236227,0,0,0,0,0,0,0,0,0,0,0,0
Francis_Collins,1.0,M182,22ACSE8351951,0,0,0,0,0,0,0,0,0,0,0,0
Francis_Ford_Coppola,2.0,M183,22ACSE6366344,0,0,0,0,0,0,0,0,0,0,0,0
Francisco_Garcia,1.0,M184,22ACSE7619412,0,0,0,0,0,0,0,0,0,0,0,0
Francois_Ozon,1.0,M185,22ACSE6704613,0,0,0,0,0,0,0,0,0,0,0,0
Frank_Beamer,1.0,M186,22ACSE3376934,0,0,0,0,0,0,0,0,0,0,0,0
Frank_Coraci,1.0,M187,22ACSE8812190,0,0,0,0,0,0,0,0,0,0,0,0
Frank_Van_Ecke,1.0,M188,22ACSE1831682,0,0,0,0,0,0,0,0,0,0,0,0
Fred_Thompson,3.0,M189,22ACSE7182092,0,0,0,0,0,0,0,0,0,0,0,0
Gala_Leon_Garcia,1.0,M190,22ACSE4723307,0,0,0,0,0,0,0,0,0,0,0,0
Galen_Rowell,1.0,M191,22ACSE3007605,0,0,0,0,0,0,0,0,0,0,0,0
Garry_McCoy,1.0,M192,22ACSE9256172,0,0,0,0,0,0,0,0,0,0,0,0
Garry_Trudeau,2.0,M193,22ACSE5926648,0,0,0,0,0,0,0,0,0,0,0,0
Garry_Witherall,1.0,M194,22ACSE3555138,0,0,0,0,0,0,0,0,0,0,0,0
Gary_Gero,1.0,M195,22ACSE5378826,0,0,0,0,0,0,0,0,0,0,0,0
Gary_Gitnick,1.0,M196,22ACSE5901412,0,0,0,0,0,0,0,0,0,0,0,0
Gary_Williams,2.0,M197,22ACSE5084753,0,0,0,0,0,0,0,0,0,0,0,0
Gavin_Degraw,1.0,M198,22ACSE4407645,0,0,0,0,0,0,0,0,0,0,0,0
Gene_Robinson,5.0,M199,22ACSE1815726,0,0,0,0,0,0,0,0,0,0,0,0
George_Bovell,1.0,M200,22ACSE6602488,0,0,0,0,0,0,0,0,0,0,0,0
George_Galloway,4.0,M201,22ACSE9520549,0,0,0,0,0,0,0,0,0,0,0,0
George_Lucas,1.0,M202,22ACSE5345577,0,0,0,0,0,0,0,0,0,0,0,0
Georgia_Giddings,1.0,M203,22ACSE6351886,0,0,0,0,0,0,0,0,0,0,0,0
Geovani_Lapentti,1.0,M204,22ACSE5824815,0,0,0,0,0,0,0,0,0,0,0,0
Geraldine_Chaplin,4.0,M205,22ACSE5105747,0,0,0,0,0,0,0,0,0,0,0,0
Geraldo_Rivera,1.0,M206,22ACSE5250742,0,0,0,0,0,0,0,0,0,0,0,0
Gerard_Tronche,1.0,M207,22ACSE2330355,0,0,0,0,0,0,0,0,0,0,0,0
Gerard_de_Cortanze,1.0,M208,22ACSE6133322,0,0,0,0,0,0,0,0,0,0,0,0
Gerardo_Gambala,2.0,M209,22ACSE7599774,0,0,0,0,0,0,0,0,0,0,0,0
Gerry_Parsky,2.0,M210,22ACSE3257783,0,0,0,0,0,0,0,0,0,0,0,0
Gian_Marco,3.0,M211,22ACSE3676588,0,0,0,0,0,0,0,0,0,0,0,0
Giancarlo_Fisichella,1.0,M212,22ACSE9337333,0,0,0,0,0,0,0,0,0,0,0,0
Gideon_Yago,1.0,M213,22ACSE3256890,0,0,0,0,0,0,0,0,0,0,0,0
Gillian_Anderson,2.0,M214,22ACSE4569163,0,0,0,0,0,0,0,0,0,0,0,0
Glenn_Plummer,1.0,M215,22ACSE6080286,0,0,0,0,0,0,0,0,0,0,0,0
Glenn_Rivers,1.0,M216,22ACSE9973594,0,0,0,0,0,0,0,0,0,0,0,0
Gordon_Brown,13.0,M217,22ACSE7062479,0,0,0,0,0,0,0,0,0,0,0,0
Grant_Hackett,5.0,M218,22ACSE6506780,0,0,0,0,0,0,0,0,0,0,0,0
Gray_Davis,26.0,M219,22ACSE1193137,0,0,0,0,0,0,0,0,0,0,0,0
Gregg_Berhalter,1.0,M220,22ACSE3939141,0,0,0,0,0,0,0,0,0,0,0,0
Gregg_Popovich,5.0,M221,22ACSE8065349,0,0,0,0,0,0,0,0,0,0,0,0
Gregor_Gysi,1.0,M222,22ACSE5941943,0,0,0,0,0,0,0,0,0,0,0,0
Guus_Hiddink,1.0,M223,22ACSE1853709,0,0,0,0,0,0,0,0,0,0,0,0
Guy_Ritchie,2.0,M224,22ACSE4130337,0,0,0,0,0,0,0,0,0,0,0,0
Hamid_Efendi,1.0,M225,22ACSE6911340,0,0,0,0,0,0,0,0,0,0,0,0
Hamzah_Haz,2.0,M226,22ACSE7707394,0,0,0,0,0,0,0,0,0,0,0,0
Hana_Urushima,1.0,M227,22ACSE4170632,0,0,0,0,0,0,0,0,0,0,0,0
Hank_Bass,1.0,M228,22ACSE3135536,0,0,0,0,0,0,0,0,0,0,0,0
Harald_Ringstorff,1.0,M229,22ACSE7541916,0,0,0,0,0,0,0,0,0,0,0,0
Harbhajan_Singh,2.0,M230,22ACSE7194814,0,0,0,0,0,0,0,0,0,0,0,0
Harold_Brown,1.0,M231,22ACSE9315809,0,0,0,0,0,0,0,0,0,0,0,0
Hayden_Panettiere,1.0,M232,22ACSE9047859,0,0,0,0,0,0,0,0,0,0,0,0
Heather_Chinnock,1.0,M233,22ACSE6455118,0,0,0,0,0,0,0,0,0,0,0,0
Helen_Alvare,1.0,M234,22ACSE2520265,0,0,0,0,0,0,0,0,0,0,0,0
Henning_Scherf,1.0,M235,22ACSE3182921,0,0,0,0,0,0,0,0,0,0,0,0
Henry_Castellanos,1.0,M236,22ACSE7512792,0,0,0,0,0,0,0,0,0,0,0,0
Henry_Kissinger,1.0,M237,22ACSE5739681,0,0,0,0,0,0,0,0,0,0,0,0
Herb_Dhaliwal,1.0,M238,22ACSE1741043,0,0,0,0,0,0,0,0,0,0,0,0
Hilary_McKay,1.0,M239,22ACSE9992088,0,0,0,0,0,0,0,0,0,0,0,0
Hisashi_Owada,1.0,M240,22ACSE2623076,0,0,0,0,0,0,0,0,0,0,0,0
Hootie_Johnson,2.0,M241,22ACSE7225226,0,0,0,0,0,0,0,0,0,0,0,0
Howard_Stern,1.0,M242,22ACSE9800387,0,0,0,0,0,0,0,0,0,0,0,0
Hugo_Chavez,71.0,M243,22ACSE4749460,0,0,0,0,0,0,0,0,0,0,0,0
Hung_Wan-ting,1.0,M244,22ACSE2672967,0,0,0,0,0,0,0,0,0,0,0,0
Ian_Smith,1.0,M245,22ACSE1555311,0,0,0,0,0,0,0,0,0,0,0,0
Imam_Samudra,1.0,M246,22ACSE4513778,0,0,0,0,0,0,0,0,0,0,0,0
Imelda_Marcos,1.0,M247,22ACSE5150754,0,0,0,0,0,0,0,0,0,0,0,0
Ingrid_Betancourt,1.0,M248,22ACSE1288958,0,0,0,0,0,0,0,0,0,0,0,0
Irene_Kahn,1.0,M249,22ACSE1350996,0,0,0,0,0,0,0,0,0,0,0,0
Irina_Framtsova,1.0,M250,22ACSE3257877,0,0,0,0,0,0,0,0,0,0,0,0
Isaiah_Washington,2.0,M251,22ACSE9851252,0,0,0,0,0,0,0,0,0,0,0,0
Itzhak_Perlman,1.0,M252,22ACSE4959161,0,0,0,0,0,0,0,0,0,0,0,0
Ivana_Trump,1.0,M253,22ACSE7914951,0,0,0,0,0,0,0,0,0,0,0,0
Jack_Grubman,2.0,M254,22ACSE1912848,0,0,0,0,0,0,0,0,0,0,0,0
Jack_Smith,1.0,M255,22ACSE5453072,0,0,0,0,0,0,0,0,0,0,0,0
Jacob_Frenkel,1.0,M256,22ACSE6466934,0,0,0,0,0,0,0,0,0,0,0,0
Jacques_Rogge,10.0,M257,22ACSE9881030,0,0,0,0,0,0,0,0,0,0,0,0
Jake_Brace,1.0,M258,22ACSE6482510,0,0,0,0,0,0,0,0,0,0,0,0
Jalal_Talabani,1.0,M259,22ACSE8799152,0,0,0,0,0,0,0,0,0,0,0,0
James_Caan,3.0,M260,22ACSE7660575,0,0,0,0,0,0,0,0,0,0,0,0
James_Comey,1.0,M261,22ACSE7739052,0,0,0,0,0,0,0,0,0,0,0,0
James_Hill,1.0,M262,22ACSE5776086,0,0,0,0,0,0,0,0,0,0,0,0
James_Jones,2.0,M263,22ACSE4085413,0,0,0,0,0,0,0,0,0,0,0,0
James_Meredeth,1.0,M264,22ACSE5085647,0,0,0,0,0,0,0,0,0,0,0,0
James_Phelps,1.0,M265,22ACSE7026379,0,0,0,0,0,0,0,0,0,0,0,0
James_Robertson_Jr,1.0,M266,22ACSE6742589,0,0,0,0,0,0,0,0,0,0,0,0
Jamling_Norgay,2.0,M267,22ACSE9634474,0,0,0,0,0,0,0,0,0,0,0,0
Jan_Pronk,1.0,M268,22ACSE4700313,0,0,0,0,0,0,0,0,0,0,0,0
Jane_Walker_Wood,1.0,M269,22ACSE9966167,0,0,0,0,0,0,0,0,0,0,0,0
Janez_Drnovsek,1.0,M270,22ACSE1783390,0,0,0,0,0,0,0,0,0,0,0,0
Janica_Kostelic,2.0,M271,22ACSE4386892,0,0,0,0,0,0,0,0,0,0,0,0
Janice_Abreu,1.0,M272,22ACSE3923330,0,0,0,0,0,0,0,0,0,0,0,0
Janis_Ruth_Coulter,1.0,M273,22ACSE3501674,0,0,0,0,0,0,0,0,0,0,0,0
Jason_Priestley,1.0,M274,22ACSE7843467,0,0,0,0,0,0,0,0,0,0,0,0
Javier_Delgado,1.0,M275,22ACSE1173319,0,0,0,0,0,0,0,0,0,0,0,0
Jean-Francois_Lemounier,1.0,M276,22ACSE9058662,0,0,0,0,0,0,0,0,0,0,0,0
Jeanne_Moreau,2.0,M277,22ACSE9244512,0,0,0,0,0,0,0,0,0,0,0,0
